SN,title,color,imageUrl,price_euro,price_usd,material,gender,brand,care,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,IDAA T-SHIRT MADE OF ORGANIC COTTON,white,https://www.armedangels.com/media/1234x1778x90/f2/ab/41/1617243542/idaa-white.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
2,IDAA T-SHIRT MADE OF ORGANIC COTTON,black,https://www.armedangels.com/media/1234x1778x90/ab/de/23/1617847704/idaa-black.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
3,IDAA T-SHIRT MADE OF ORGANIC COTTON,night sky,https://www.armedangels.com/media/1234x1778x90/d9/e8/32/1644464234/idaa-night01-sky.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
4,IDAA T-SHIRT MADE OF ORGANIC COTTON,kinoko,https://www.armedangels.com/media/1048x1510x90/a4/6d/e0/1594924478/idaa-logo-kinoko.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
5,IDAA T-SHIRT MADE OF ORGANIC COTTON,undyed,https://www.armedangels.com/media/1234x1778x90/2c/87/53/1644722539/-idaa01-undyed.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
6,IDAA T-SHIRT MADE OF ORGANIC COTTON,ruby red,https://www.armedangels.com/media/1234x1778x90/dc/4e/63/1626318045/idaa-ruby-red.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
7,IDAA T-SHIRT MADE OF ORGANIC COTTON,smoky almond,https://www.armedangels.com/media/1234x1778x90/1e/5a/35/1640317013/idaa-smoky-almond.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
8,IDAA T-SHIRT MADE OF ORGANIC COTTON,graphite,https://www.armedangels.com/media/1048x1510x90/08/1d/67/1640317023/idaa-graphite-08.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
9,IDAA T-SHIRT MADE OF ORGANIC COTTON,cloudbusting,https://www.armedangels.com/media/1048x1510x90/d3/c1/f2/1639711154/idaa-cloudbusting-08.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
10,IDAA T-SHIRT MADE OF ORGANIC COTTON,dark poppy,https://www.armedangels.com/media/1234x1778x90/29/5e/89/1640317017/idaa-dark-poppy.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
11,IDAA T-SHIRT MADE OF ORGANIC COTTON,peach blossom,https://www.armedangels.com/media/1234x1778x90/e2/df/50/1640317020/idaa-peach-blossom.jpg,25.13,28.65,100% Cotton (organic),women,Armed Angels,30бу normal wash; Do not bleach; Dry cleaning not possible Dry cleaning not possible; Drying in dryer not possible Drying in dryer not possible; do not iron hot do not iron hot,0,0,0,0,0,0,0,0,1
